Feature,Importance_Mean,Importance_Std
solar_irradiance,0.026513508645385597,0.0007617263140872282
temperature,0.02553631513221407,0.0007252741480529227
humidity_lag2,0.00882705697502687,0.0004354735869194101
solar_irradiance_lag24,0.007418982873598235,0.00017817959945467022
solar_irradiance_lag1,0.004299249028591789,0.00011767239401956782
humidity_lag24,0.004004344358684964,7.79854112876458e-05
cloud_amount_roll24,0.0033777870287495905,0.0007792356065654472
temperature_lag2,0.002034298271380619,0.00022258158200646127
cloud_amount_lag3,0.0018770259865696249,0.00012560041257054865
temperature_lag24,0.0018443003501765198,0.00025758139263564557
humidity_lag6,0.0017868390800215184,0.0002829047105239542
temperature_lag1,0.0016432450919734109,0.0001294647166884944
solar_irradiance_lag3,0.0016002878136641252,0.00017567548358209969
temperature_lag12,0.0015804977013726628,0.0004962551548133494
wind_speed_cubed,0.0015364627121437046,3.009512786340684e-05
wind_speed_roll24,0.0014864884216294171,0.00014862713760442105
solar_irradiance_roll24,0.001186132637703341,0.00012430010269660744
cloud_amount_lag2,0.0011762265557310526,9.106533779480006e-05
doy_sin,0.0009696538773861785,0.00029323238037165896
cloud_amount_lag1,0.0008490641798012622,0.00016960730989575893
wind_speed_lag6,0.0008133778812295489,6.297563532598908e-05
wind_speed_lag3,0.0006945453884996677,5.163399564530303e-05
humidity_lag12,0.0006811655371668391,0.0001283294156380071
wind_speed_roll6,0.0005690148655538296,1.775118090866224e-05
solar_irradiance_roll6,0.0004619911460167492,0.00010097925962233117
cloud_amount_lag24,4.595444874245791e-05,0.00030913993060471357
wind_speed_lag2,2.607554969641379e-05,4.989498927754075e-05
solar_irradiance_lag12,0.0,0.0
solar_irradiance_lag6,-8.271488097520985e-05,0.00012915339384567568
humidity_roll24,-0.0002215977918875067,0.00011024823483218907
air_mass,-0.0004309843031056748,7.751840899236508e-05
cloud_amount_roll6,-0.0006244651586888139,0.00026848144792753994
doy_cos,-0.0007448408954956798,0.00015832303522187298
cloud_amount,-0.0007769384095432597,0.00022361356125102233
cloud_amount_lag6,-0.0008424140809666581,0.00033440672046904725
temperature_lag6,-0.0008564242865954253,6.538967760237375e-05
humidity_roll6,-0.0008854646782346154,0.00016049214621125288
wind_speed_lag1,-0.0009844650142383671,8.710101303604752e-05
temperature_roll24,-0.0011017491170977833,0.00022247712463607157
wind_speed_lag12,-0.001254048827714027,0.00035820380900990223
humidity_lag1,-0.0012553392766306627,9.479681155667419e-05
humidity_lag3,-0.001805690079132094,0.0003381215298803101
wind_speed_lag24,-0.002007656829687554,7.821982907423562e-05
hour_sin,-0.002087607689033988,0.0004688686862675008
cloud_amount_lag12,-0.0021226214339799877,0.00013694449406407837
solar_irradiance_lag2,-0.0021368765367940634,0.00010367845062582286
temperature_roll6,-0.002381419438798371,4.095241928924554e-05
wind_speed,-0.0023941578231594486,0.00012434577637289101
humidity,-0.002538948341838332,0.0001247581853712405
solar_zenith,-0.00426666756457319,6.394438032347543e-05
temperature_lag3,-0.004422886435986473,0.0002608959537814655
hour_cos,-0.018664624967401712,0.0003721021150184375
