Feature,Importance_Mean,Importance_Std
wind_speed_lag24,0.02651201205994491,0.0007519472315746745
solar_irradiance_lag3,0.017959047556212228,0.0007796859152884519
solar_irradiance_lag2,0.014497713174203675,0.0003267761120734289
solar_irradiance_roll6,0.007981740203721,0.0006365877937979214
air_mass,0.006698029338724876,0.00037610258338176543
temperature_lag6,0.005673021232781484,0.000362152835345755
solar_irradiance_lag1,0.005250751620751437,0.00010898983146897089
humidity_lag3,0.004001761958092764,0.00024675729689164176
humidity_lag24,0.003914741472259032,0.00021922796214107418
doy_sin,0.003653108550925932,0.0004702387128081078
solar_irradiance_lag24,0.0026338678714314056,8.630026172827689e-05
solar_zenith,0.0026277753368623815,0.00012813447227559883
cloud_amount_lag6,0.002615217843050477,0.00025607857754730715
hour_cos,0.0025968936224853856,0.0001394700439228963
humidity_lag2,0.001979231189291486,0.00010996469947145413
wind_speed_lag6,0.0016576370346625068,0.00012740873605352477
humidity_roll6,0.0016246042666772987,0.0001473793696626951
solar_irradiance_lag12,0.001527077873584215,0.00024254740356170897
solar_irradiance_lag6,0.0011278184936957202,0.00012058094372183505
temperature_lag24,0.0008523209402262033,9.911623092700453e-05
humidity_lag1,0.0007057861784664609,3.605392897735518e-05
cloud_amount_lag2,0.000587498766247574,0.00014204895418836253
temperature_lag1,0.0003985205713031625,6.34544115763752e-05
temperature_roll24,0.00038305108575720226,6.090145864595566e-05
temperature_lag2,0.0003132039107321738,0.0001630395679459419
temperature,0.0002766826454121407,1.8362224887547706e-05
cloud_amount,0.0002274221342233318,0.0002386268658976666
cloud_amount_lag1,0.00017345008834563914,0.00012436856328642526
temperature_lag12,0.0001531788078661833,4.581726380177433e-05
humidity_lag6,0.00012661185416620313,5.140672534771964e-05
cloud_amount_lag24,9.145576789748588e-05,2.3674066609377506e-05
solar_irradiance_roll24,-1.6816888628312654e-07,0.0001543646422690584
cloud_amount_lag12,-3.326975606006144e-05,1.0199851434268208e-05
humidity_lag12,-5.430242578672306e-05,1.4354171560540343e-05
humidity_roll24,-8.922979035546064e-05,3.282587019921891e-06
cloud_amount_roll6,-0.00013088015541651288,3.597757602093879e-05
doy_cos,-0.00020191881326798723,4.047091574679951e-05
temperature_lag3,-0.00031415204206055594,0.0003052389789823992
temperature_roll6,-0.000364273971222584,9.695375254794747e-05
wind_speed_lag3,-0.00047180848731454006,0.00011093934434857886
humidity,-0.0008205312103984674,5.148559624575221e-05
cloud_amount_roll24,-0.0008728890030625713,0.00020761821830102267
wind_speed_roll6,-0.0013354422483427442,0.00028917560248198305
cloud_amount_lag3,-0.0015143630834598908,0.0003290544318291173
wind_speed_lag12,-0.0018888923154488425,0.0002777032558802833
wind_speed_roll24,-0.0019169232211430297,0.0005990949426312711
hour_sin,-0.004114329690974028,0.0002347827281306569
solar_irradiance,-0.00457270083987602,0.00015940850834245503
wind_speed_lag2,-0.006367592715279003,0.0003823279557716078
wind_speed_cubed,-0.009804006306855673,0.0001600718040651949
wind_speed_lag1,-0.02652330358045063,0.001058428547618074
wind_speed,-0.06274078004982844,0.0015764024304771166
