target,variant,RMSE,MAE,R2,n_features
solar_irradiance,full_pipeline,0.09648912695132594,0.06769461936412671,0.8409026299971682,52
solar_irradiance,no_pca,0.084400917622078,0.05760362323342208,0.8782691698996514,52
solar_irradiance,no_residual_learning,0.08941123004557136,0.062481882105554845,0.8633875166763944,52
solar_irradiance,no_cloud_features,0.12641334579002786,0.09580049210713833,0.7269186137881889,43
solar_irradiance,no_physics_features,0.1012029210376028,0.07297865682790805,0.8249781208547253,49
solar_irradiance,calendar_features_only,0.08483041478930727,0.052150256926355346,0.877027096318818,12
wind_speed,full_pipeline,0.5769779103161674,0.4309659466475003,0.6298991494411013,52
wind_speed,no_pca,0.5926969654020819,0.45121840581663863,0.6094585650657981,52
wind_speed,no_residual_learning,0.6448053678594111,0.5170064707205052,0.537769074295569,52
wind_speed,no_cloud_features,0.6752341696223289,0.5322609339309388,0.4931137240060953,43
wind_speed,no_physics_features,0.5855935904442907,0.43905905299674103,0.618763617975918,49
wind_speed,calendar_features_only,0.621921095797597,0.48578975061543295,0.5699962061695537,12
