target,rmse_baseline_lr,rmse_pso_gpr,rmse_reduction,illustrative_annual_diesel_litres_avoided,illustrative_annual_cost_avoided_NPR
solar_irradiance,0.1001,0.0965,0.0036,9.4,1686.0
wind_speed,0.6091,0.6509,-0.0418,-109.9,-19782.0
