Feature,Importance_Mean,Importance_Std
solar_zenith,0.052356217470619096,0.0014947254888447422
hour_cos,0.051681254634373716,0.0011685674101561561
temperature,0.04779046788456256,0.0015316864079974167
solar_irradiance_lag24,0.04697386979057452,0.0013314681807835846
temperature_lag1,0.04597521279159515,0.0013999517015888
solar_irradiance,0.04160020701514018,0.0011704479171916072
temperature_lag24,0.041531747818177145,0.001294550016611801
solar_irradiance_lag1,0.04084616414900042,0.0009232910854616735
temperature_lag2,0.03801142732011735,0.0012979311622757438
air_mass,0.037656054963612906,0.0008288164879699221
solar_irradiance_lag2,0.030712899969968798,0.0004390375883808212
humidity_lag24,0.028895014594512068,0.0016114208120806635
temperature_lag3,0.02801902486767984,0.0012037939720001094
wind_speed_lag12,0.02689037057241057,0.002061936319106364
solar_irradiance_roll6,0.026273708478292957,0.0003115868006917099
humidity_lag2,0.02624011077034174,0.0011293992584603854
doy_sin,0.025733520848406945,0.0017871688832010288
temperature_roll6,0.02467885287779197,0.001170215140493459
humidity_lag3,0.024175299088988834,0.0009991657389154694
humidity_lag1,0.023704553988803046,0.0011491613979039653
humidity_roll6,0.02130756046703928,0.0013403451539750113
solar_irradiance_lag3,0.019057542441025886,0.00013221706246726632
temperature_roll24,0.018486474382682784,0.0005577349308891439
temperature_lag12,0.01797688557071666,0.00046622835610012764
humidity,0.016321744264275927,0.0013025467509454713
doy_cos,0.009055929656860506,0.0003184516873498873
solar_irradiance_lag12,0.007552959763682488,0.00030150761681299354
temperature_lag6,0.005277498758779586,0.0008708110949235577
hour_sin,0.004150159494174055,0.0011930299006342776
solar_irradiance_roll24,0.0033513669506239907,0.0009377516868541754
humidity_lag6,0.0030096038197701346,0.001931315474999821
solar_irradiance_lag6,-3.487626066442928e-05,0.0007071909873783299
wind_speed_cubed,-0.002697773858730024,0.00025747981188190184
humidity_lag12,-0.0037130956068011757,0.0005748287633308743
wind_speed_lag6,-0.004225666255145377,0.0002701471599885726
wind_speed_roll6,-0.004738709255037854,0.0003227578332490131
wind_speed,-0.0057515904927298855,0.0002953613217629041
wind_speed_lag3,-0.006797433051438073,0.000586136968375972
wind_speed_roll24,-0.006839305223011305,0.0048097785450089215
wind_speed_lag2,-0.00821325863374378,0.0007433471128142829
wind_speed_lag1,-0.008363130008883335,0.000568104963110451
wind_speed_lag24,-0.009239391092652215,0.0004471663474819028
humidity_roll24,-0.012870344846560666,0.0011515932799321834
