Particles,Best_Val_RMSE,Final_Pos
5,0.0946768336748397,[8.09502604e+01 1.00000000e+02 3.17835078e-02]
15,0.09382190054670539,[1.00000000e+02 5.01600651e+01 1.26757114e-02]
30,0.09382190007630078,[1.00000000e+02 8.68437855e+01 2.19299963e-02]
