target,model,RMSE,MAE,R2,NLPD,coverage_95,best_length_scale,best_signal_variance,best_noise
solar_irradiance,persistence,0.08683717165631485,0.045096234146341466,0.871140160435224,,,,,
solar_irradiance,linear_regression,0.1000672164161024,0.07813288954747681,0.8288842894406617,,,,,
solar_irradiance,sarimax,0.4311117698622888,0.36242509315504895,-2.176040313736808,,,,,
solar_irradiance,gpr_rbf_default,0.10032811867978982,0.07640491996491271,0.8279908364608954,-0.8737791885537033,0.9648780487804878,,,
solar_irradiance,gpr_matern_default,0.09925894501476713,0.07506024829886589,0.8316374260584245,-0.8858029031537976,0.975609756097561,,,
solar_irradiance,gpr_rbf_pso,0.08440088850055946,0.05760317542969866,0.878269253903146,2.397675772547394,0.5951219512195122,100.0,100.0,0.025248398759744307
solar_irradiance,gpr_matern_pso,0.0839103878143959,0.05464767682472323,0.8796800332050065,-0.17616185377799656,0.8107317073170732,100.0,76.91743135678685,0.04722086874133915
solar_irradiance,gpr_periodic_pso,0.08268380290630842,0.05456358893803753,0.8831719486322565,-0.9708282640600254,0.92,100.0,84.31256242413177,0.13385368175298318
wind_speed,persistence,0.562494078112906,0.4056364468864469,0.6482471543870767,,,,,
wind_speed,linear_regression,0.6090870389214005,0.4683843123257944,0.5875603341425585,,,,,
wind_speed,sarimax,2.133366082295176,1.9476356532967576,-4.059789884731279,,,,,
wind_speed,gpr_rbf_default,0.6127646082001742,0.47531200519655126,0.5825648101205154,0.9553315936652956,0.9739010989010989,,,
wind_speed,gpr_matern_default,0.662331677428365,0.5095830005487234,0.5122999911159911,1.022461238230399,0.9720695970695971,,,
wind_speed,gpr_rbf_pso,0.5926972024265275,0.45121867890439654,0.6094582527042003,0.8997263647763372,0.9606227106227107,100.0,50.40965846621302,0.7064090100034535
wind_speed,gpr_matern_pso,0.5689185557739197,0.42596295615525404,0.6401662390338272,0.9594955373916298,0.8855311355311355,100.0,5.007083261416057,0.339556303103125
wind_speed,gpr_periodic_pso,0.5822677375797118,0.4401164674974981,0.623081751030531,0.9246469606162246,0.978021978021978,100.0,12.640241032530788,1.0
