Feature,Importance_Mean,Importance_Std
wind_speed_lag24,0.017081339237276706,0.0005212796850932924
solar_irradiance_lag3,0.015575494487461405,0.0005974549663929259
solar_irradiance_lag2,0.013227692132520374,0.00029595123256944935
solar_irradiance_roll6,0.008822619906492957,0.0005190549538173308
air_mass,0.006666641625398295,0.00032411999649556016
solar_irradiance_lag1,0.0062601385978585,0.00013506707571146092
solar_zenith,0.005177618313229359,0.0001722385424460496
hour_cos,0.005067003224279265,0.0001728410038904504
humidity_lag3,0.004095541179220863,0.00023642695465388893
temperature_lag6,0.0034100822838591506,0.0002084451619194433
humidity_lag24,0.003080169531321264,0.00017558566436542343
humidity_lag2,0.0030577670807979906,0.0001642643375741482
solar_irradiance_lag24,0.0020957785995513235,8.399169256866755e-05
temperature_lag2,0.002094101631495615,0.00014021289648410098
temperature_lag1,0.002058279943603658,8.552546921014783e-05
doy_sin,0.002046856836104993,0.0003814167142680138
cloud_amount_lag6,0.001955832279904257,0.00016149723537636464
humidity_lag1,0.0018039815826248252,0.00010159673631519662
temperature_lag24,0.0017757206876193089,8.566613470284814e-05
temperature,0.0017538468959552133,6.607487255662792e-05
solar_irradiance_lag12,0.0016844610368269564,0.00020460478628724944
humidity_roll6,0.001670365979250743,0.00017399792888259645
temperature_lag3,0.0015404147919235278,0.0002170875312435279
wind_speed_lag6,0.0012366766579161137,8.890627531242255e-05
temperature_roll6,0.0010582595964468311,9.718543675330599e-05
cloud_amount_lag24,0.0006051342225332768,3.8457416318906217e-05
temperature_lag12,0.0005193635923033569,0.00010263689590220545
humidity,0.0004126066447512677,7.173646398042712e-05
cloud_amount_lag2,0.000372844631610203,8.054029412620378e-05
temperature_roll24,0.00033869450903933895,6.023675201556803e-05
cloud_amount,0.00025633472628951994,0.00022163086493591573
doy_cos,0.00015248536818708304,4.4284597666229114e-05
cloud_amount_roll6,6.950420677185321e-05,7.148859361922534e-05
cloud_amount_lag1,-1.1933470779990074e-05,6.120922524712221e-05
solar_irradiance_roll24,-4.1684307534239905e-05,0.0001222563237914161
cloud_amount_lag12,-4.2749728862290225e-05,3.4524919880655314e-05
humidity_lag12,-0.00015197329698120045,5.946346666285168e-05
solar_irradiance_lag6,-0.0003615481976416035,0.0001299756366552428
cloud_amount_roll24,-0.0005173108228183843,0.00018627279298265366
wind_speed_lag3,-0.0007411171455852461,0.0001619340783744325
humidity_roll24,-0.0007632954707842643,1.7235794381024055e-05
cloud_amount_lag3,-0.0008869606608612913,0.0002835848133879251
wind_speed_roll24,-0.0008997448822576359,0.0005126305654745501
humidity_lag6,-0.0009452076723346359,5.753791221720599e-05
wind_speed_roll6,-0.0013978604671192052,0.00030582177361577415
wind_speed_lag12,-0.001549940871661004,0.00022438569155983431
solar_irradiance,-0.001957774764638387,6.101766606542356e-05
hour_sin,-0.003225864972414083,0.00022029272281647922
wind_speed_lag2,-0.0066707011455049425,0.00040435288460255323
wind_speed_cubed,-0.012047543844558372,0.00021972159005578755
wind_speed_lag1,-0.023048250119272938,0.0009434358803267487
wind_speed,-0.04828775204127407,0.0011938694799863347
